Country,Percentage,Submission,Population
Afghanistan,0.0000072314043983932545,2,27657145
Albania,0.00020789833494223544,6,2886026
Argentina,0.00023858464249008958,104,43590400
Armenia,0.0004675394068928667,14,2994400
Australia,0.0038685826309347296,933,24117360
Austria,0.0033348877042461145,291,8725931
Azerbaijan,0.000030830892554339447,3,9730500
Bahamas,0.00026452227277536767,1,378040
Bahrain,0.0008541533205210335,12,1404900
Bangladesh,0.00001801166273795037,29,161006790
Barbados,0.0007017543859649123,2,285000
Belarus,0.0002421383978860265,23,9498700
Belgium,0.003516052946103414,398,11319511
Belize,0.00027005130974885227,1,370300
Bermuda,0.0032282015689059623,2,61954
Bolivia,0.000009103273819466969,1,10985059
Bosnia and Herzegovina,0.00008495794157102527,3,3531159
Brazil,0.0002304305150777405,475,206135893
Brunei,0.0002427773731488225,1,411900
Bulgaria,0.0007967811161198046,57,7153784
Canada,0.0027851927426672473,1007,36155487
Cayman Islands,0.0017170919331020984,1,58238
Chile,0.0003133262605885037,57,18191900
China,0.000006606543893820277,91,1377422166
Colombia,0.00009023797764550987,44,48759958
Costa Rica,0.00018403481611547898,9,4890379
Croatia,0.0025532916104803313,107,4190669
Cyprus,0.0020070838252656434,17,847000
Czech Republic,0.0020173274219010156,213,10558524
Denmark,0.0048976616114636065,280,5717014
Dominican Republic,0.00006947859786234206,7,10075045
Ecuador,0.00007252596263256916,12,16545799
Egypt,0.000019717384160368058,18,91290000
Estonia,0.002051759041418176,27,1315944
Finland,0.0016023840561329703,88,5491817
France,0.0032828661370109427,2190,66710000
Georgia,0.0008601225674658639,32,3720400
Germany,0.0014711835139395557,1203,81770900
Ghana,0.0000036139996806669886,1,27670174
Greece,0.0015288241371491558,166,10858018
Guatemala,0.000012363894386872314,2,16176133
Honduras,0.000011659724466719183,1,8576532
Hong Kong - Macau,0.000990794391351243,79,7973400
Hungary,0.0005497302249821846,54,9823000
Iceland,0.0053843852826802275,18,334300
India,0.00001798936079863497,233,1295210000
Indonesia,0.000013528922904466476,35,258705000
Iran,0.0000075595408334897735,6,79369900
Ireland,0.0014424584509250549,92,6378000
Isle of Man,0.0011834739694900412,1,84497
Israel,0.0015362244060323194,131,8527400
Italy,0.002100038619940994,1274,60665551
Jamaica,0.000036720883827608675,1,2723246
Japan,0.00033238815374921234,422,126960000
Jordan,0.000041965178973095284,4,9531712
Kazakhstan,0.000011265574656963252,2,17753200
Kenya,0.000010581786628854417,5,47251000
Kosovo,0.00028837691092960027,5,1733842
Latvia,0.0022940456769983686,45,1961600
Lebanon,0.00036740146960587844,22,5988000
Lithuania,0.001984476519464929,57,2872294
Luxembourg,0.0034710170079833395,20,576200
Macedonia,0.0003886251365653019,8,2058539
Malaysia,0.00009234076058728215,29,31405416
Malta,0.0037613074304628288,16,425384
Martinique,0.0002643803057822617,1,378243
Mauritius,0.0002375524496012682,3,1262879
Mexico,0.0000809660489483275,99,122273473
Moldova,0.0005065998705355886,18,3553100
Monaco,0.005208333333333334,2,38400
Mongolia,0.000032330024894119166,1,3093100
Montenegro,0.00016082082951383864,1,621810
Morocco,0.000032995846812761675,11,33337529
Mozambique,0.000003784481355752601,1,26423700
Nepal,0.000007034451224873819,2,28431500
Netherlands,0.004900175090189074,834,17019800
New Zealand,0.00415083142217702,195,4697854
Nigeria,0.0000026739683829978396,5,186988000
North Korea,0.000007911079466793244,2,25281000
Norway,0.0042310773203534345,221,5223256
Oman,0.000045247507258265756,2,4420133
Pakistan,0.0000041210547044152395,8,194125062
Panama,0.00005242914725040581,2,3814672
Paraguay,0.00008753327723422855,6,6854536
Peru,0.000031757424091817065,10,31488700
Philippines,0.000026142575798946163,27,103279800
Poland,0.0011317150016940604,435,38437239
Portugal,0.0025060670920426394,260,10374822
Puerto Rico,0.00017270252393225224,6,3474182
Qatar,0.00007729277420771041,2,2587564
Romania,0.0007904776942299358,157,19861408
Russia,0.0003472052091859202,509,146599183
Saudi Arabia,0.000024807586159847678,8,32248200
Serbia,0.0011305228159288405,80,7076372
Singapore,0.002131887985546522,118,5535000
Slovakia,0.0015664587638023445,85,5426252
Slovenia,0.003584944782161315,74,2064188
South Africa,0.00020124464783570186,112,55653654
South Korea,0.00006299038382895119,32,50801405
Spain,0.0012597327273523634,585,46438422
Sri Lanka,0.00002384813507583707,5,20966000
Sweden,0.0033956928062247897,336,9894888
Switzerland,0.005238803107317541,437,8341600
Taiwan,0.0002467733428116989,58,23503349
Tanzania,0.000009065361254645998,5,55155000
Thailand,0.00005051459678973309,33,65327652
Tunisia,0.000008965072079179517,1,11154400
Turkey,0.0002362173134768721,186,78741053
USA,0.001856167829922796,6013,323947000
Ukraine,0.00045207116874427725,193,42692393
United Arab Emirates,0.0009638798701298702,95,9856000
United Kingdom,0.004645983719858701,3025,65110000
Uruguay,0.00025860419249116863,9,3480222
Venezuela,0.00003222822741526394,10,31028700
Vietnam,0.000032362459546925564,30,92700000
